pt,source,target,weight
Preterm,0,0,0.807682540130435
Preterm,0,1,0.044402618657937806
Preterm,0,2,0.05121927236971485
Preterm,0,3,0.09316847200730072
Preterm,0,4,0.002044989775051125
Preterm,1,0,0.041320710793823226
Preterm,1,1,0.8307882178706598
Preterm,1,2,0.042043322531127414
Preterm,1,3,0.04471243042671614
Preterm,1,4,0.03964217148634243
Preterm,2,0,0.06281105541878465
Preterm,2,1,0.05237238627863071
Preterm,2,2,0.8143087197461281
Preterm,2,3,0.06984015819395237
Preterm,2,4,0.006072874493927126
Preterm,3,0,0.10123501878242203
Preterm,3,1,0.04656368821292776
Preterm,3,2,0.06567222697462219
Preterm,3,3,0.7922075848303394
Preterm,3,4,0.0020491803278688526
Preterm,4,0,0.006673328891849878
Preterm,4,1,0.08236434108527133
Preterm,4,2,0.01725399719669061
Preterm,4,3,0.003921956866089923
Preterm,4,4,0.8905060981966016
Term,0,0,0.7985805553483979
Term,0,1,0.047661317378662485
Term,0,2,0.05449046920821114
Term,0,3,0.09266979428168982
Term,0,4,0.00398406374501992
Term,1,0,0.03993355481727574
Term,1,1,0.8316979653854372
Term,1,2,0.041877409243021135
Term,1,3,0.04332658935424662
Term,1,4,0.0410155385364558
Term,2,0,0.057249952326468345
Term,2,1,0.05026315789473684
Term,2,2,0.8120295206062599
Term,2,3,0.06621126368528485
Term,2,4,0.010471204188481676
Term,3,0,0.0992589866684509
Term,3,1,0.05107662303080898
Term,3,2,0.06431197478991596
Term,3,3,0.7861039186158629
Term,3,4,0.00273224043715847
Term,4,0,0.00425531914893617
Term,4,1,0.06892482785394659
Term,4,2,0.014545646884586903
Term,4,3,0.003418813408761513
Term,4,4,0.9090909090909091
