dev,source,target,weight
PT,0,1,0.24452214452214452
PT,0,2,0.26625778816199375
PT,0,3,0.4789473684210526
PT,0,4,0.010416666666666666
PT,1,0,0.2391304347826087
PT,1,2,0.25275257108287963
PT,1,3,0.26982526881720426
PT,1,4,0.217670011148272
PT,2,0,0.3023255813953488
PT,2,1,0.2774659182036888
PT,2,3,0.37777777777777777
PT,2,4,0.03333333333333333
PT,3,0,0.458041958041958
PT,3,1,0.22708174178762414
PT,3,2,0.3000151274487558
PT,3,4,0.010101010101010102
PT,4,0,0.06458333333333333
PT,4,1,0.7801932367149759
PT,4,2,0.150997150997151
PT,4,3,0.04006410256410256
TD,0,1,0.23653422912081545
TD,0,2,0.2777891191180974
TD,0,3,0.46600660066006605
TD,0,4,0.020305091733663162
TD,1,0,0.2376237623762376
TD,1,2,0.25
TD,1,3,0.25301204819277107
TD,1,4,0.24694358521137133
TD,2,0,0.3065591397849462
TD,2,1,0.275
TD,2,3,0.34879406307977734
TD,2,4,0.056818181818181816
TD,3,0,0.4536948800138612
TD,3,1,0.23529411764705882
TD,3,2,0.3
TD,3,4,0.012345679012345678
TD,4,0,0.047619047619047616
TD,4,1,0.7777777777777778
TD,4,2,0.16472868217054265
TD,4,3,0.0373864430468204
