source,target,tag,data,term,estimate,statistic,p.value,p.perm,cor_p,stat,p,s
1,1,1_1,,Postnatal days,-1.9852195296174227e-5,NA,0.8639541851982337,0.8661,NA,    NA,,
1,2,1_2,,Postnatal days,1.3468130695525985e-5,NA,0.8799849847363308,0.8794,NA,    NA,,
1,4,1_4,,Postnatal days,4.669414174078278e-5,NA,0.31605419990355826,0.3196,NA,    NA,,
2,1,2_1,,Postnatal days,-2.6770778192959402e-5,NA,0.826665607668147,0.8289,NA,    NA,,
2,2,2_2,,Postnatal days,4.8616123804698505e-4,NA,0.020518116854920908,0.0207,NA,    NA,,
2,3,2_3,,Postnatal days,-7.665113784018136e-5,NA,0.2070297229295011,0.2005,NA,    NA,,
2,4,2_4,,Postnatal days,-7.361575073010516e-5,NA,0.26590928329393315,0.27,NA,    NA,,
2,5,2_5,,Postnatal days,-1.0058303359712331e-5,NA,0.7443990202081119,0.7404,NA,    NA,,
2,6,2_6,,Postnatal days,-3.1719516251045603e-4,-3.0374310519004872,0.002582957895892702,0.0028,0.0028,-3.037,0.003,-3.037
3,1,3_1,,Postnatal days,2.22873137695574e-4,NA,0.07017375809907818,0.0711,NA,    NA,,
3,2,3_2,,Postnatal days,3.204553847835014e-4,NA,0.063253919121531,0.0584,NA,    NA,,
3,3,3_3,,Postnatal days,-7.135466660532239e-4,-2.731680081879559,0.006652013996971576,0.0075,0.0075,-2.732,0.007,-2.732
3,4,3_4,,Postnatal days,7.786890103196929e-5,NA,0.17855200064889626,0.1755,NA,    NA,,
3,5,3_5,,Postnatal days,2.2347663656032419e-4,NA,0.04875612321541018,0.0458,NA,    NA,,
4,1,4_1,,Postnatal days,4.1343437146128075e-6,NA,0.9696222502165328,0.973,NA,    NA,,
4,2,4_2,,Postnatal days,4.436678388658191e-4,3.3430753156324875,9.287741476276753e-4,0.0013,0.0013, 3.343,0.001, 3.343
4,3,4_3,,Postnatal days,2.53102518069733e-4,3.309866937565234,0.0010543636969123553,8e-4,8e-4, 3.310,0.001, 3.310
4,4,4_4,,Postnatal days,-9.415173118544121e-4,-3.445955104184802,6.452343435869809e-4,0.0011,0.0011,-3.446,0.001,-3.446
4,5,4_5,,Postnatal days,7.994738840743576e-5,NA,0.329292457432243,0.3367,NA,    NA,,
4,6,4_6,,Postnatal days,2.7297934288854044e-4,NA,0.021543677961852387,0.0227,NA,    NA,,
5,2,5_2,,Postnatal days,1.4852913752225858e-4,NA,0.06847155521456288,0.0648,NA,    NA,,
5,3,5_3,,Postnatal days,-3.366294851609706e-5,NA,0.8114692553754163,0.8109,NA,    NA,,
5,4,5_4,,Postnatal days,2.46222954704699e-4,NA,0.06091682362847146,0.0578,NA,    NA,,
5,5,5_5,,Postnatal days,-7.962428554711879e-4,-2.727435155186296,0.006736194275258002,0.0075,0.0075,-2.727,0.007,-2.727
5,6,5_6,,Postnatal days,5.262049789797181e-4,3.0733089347698743,0.0023013888846887634,0.0021,0.0021, 3.073,0.002, 3.073
6,2,6_2,,Postnatal days,4.105937348227362e-4,2.942746198279908,0.003493885349110065,0.0038,0.0038, 2.943,0.004, 2.943
6,4,6_4,,Postnatal days,1.259491860894464e-4,NA,0.34227031972319966,0.3375,NA,    NA,,
6,5,6_5,,Postnatal days,-3.415544133232335e-6,NA,0.9809031470557302,0.982,NA,    NA,,
6,6,6_6,,Postnatal days,-5.850080623332648e-4,NA,0.02384911508771483,0.0241,NA,    NA,,
1,3,1_3,,Postnatal days,3.094182188923899e-6,NA,0.946268304057447,0.9483,NA,    NA,,
5,1,5_1,,Postnatal days,9.876634433806165e-5,NA,0.598910052484551,0.6012,NA,    NA,,
3,6,3_6,,Postnatal days,-7.218943430515155e-6,NA,0.8546621119787525,0.8558,NA,    NA,,
6,3,6_3,,Postnatal days,3.759377856278291e-5,NA,0.5100645691595541,0.5072,NA,    NA,,
6,1,6_1,,Postnatal days,-2.5141442796955947e-5,NA,0.7949440493637631,0.7966,NA,    NA,,
1,5,1_5,,Postnatal days,-7.5719370140727585e-6,NA,0.7141226734521877,0.7047,NA,    NA,,
1,6,1_6,,Postnatal days,-3.8280727580334515e-5,NA,0.36764841595486686,0.3965,NA,    NA,,
